# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,9.55,4.65,-168.39848384851027,0,-3.5,0.13304177001487794,0.0,0.0,0.0
 0.12990861256654557,9.57893006317458,4.655939286923592,-168.39848384851027,-0.4546801439829095,-3.5,0.13304177001487794,0.0,-4.185502494841614,0.0
 0.18366324006664028,9.607848382459977,4.661757914456387,-168.62347397602116,-0.642821340233241,-3.4999999999999996,0.1321955728958252,0.0,-5.418383159383089,0.0
 0.22487298918824652,9.636754368277007,4.667456940002897,-168.8467641866641,-0.7870554621588629,-3.5000000000000013,0.13134434017860258,0.0,-6.383923534486565,0.0
 0.259582962184802,9.665647431046485,4.673037420967635,-169.0683500001582,-0.9085403676468069,-3.4999999999999973,0.1304882252179241,0.0,-7.196701708005077,0.0
 0.29013544784132494,9.69452698118923,4.678500414755111,-169.28822712586629,-1.0154740674446372,-3.4999999999999973,0.1296273769063693,0.0,-7.905467227821872,0.0
 0.31773208758594557,9.723392429126049,4.683846978769838,-169.50639145696542,-1.1120623065508093,-3.499999999999997,0.12876193969787783,0.0,-8.536737945354139,0.0
 0.3430869255845431,9.752243185277761,4.689078170416324,-169.72283906460635,-1.2008042395459007,-3.499999999999997,0.127892053447476,0.0,-9.106938199771813,0.0
 0.3666653360982351,9.781078660065184,4.6941950470990825,-169.93756619200337,-1.2833286763438225,-3.4999999999999987,0.1270178534282714,0.0,-9.627115987637378,0.0
 0.3887906596965723,9.809898263909126,4.699198666222625,-170.15056924854858,-1.3607673089380028,-3.500000000000005,0.12613947024784797,0.0,-10.105144529907673,0.0
 0.409698381967514,9.838701407230412,4.704090085191462,-170.36184480388764,-1.433944336886299,-3.5000000000000053,0.12525702987916312,0.0,-10.54688041305518,0.0
 0.4295663210992552,9.867487500449847,4.708870361410105,-170.57138958196396,-1.503482123847393,-3.499999999999996,0.12437065350824755,0.0,-10.956827233577345,0.0
 0.448532657674894,9.896255953988256,4.713540552283066,-170.7792004550771,-1.5698643018621288,-3.5000000000000013,0.1234804575939696,0.0,-11.33854126470148,0.0
 0.46670730448552067,9.925006178266443,4.718101715214855,-170.98527443791076,-1.6334755656993223,-3.5000000000000044,0.1225865537606044,0.0,-11.694892338690913,0.0
 0.48417939723652653,9.95373758370523,4.722554907609985,-171.1896086815654,-1.694627890327843,-3.500000000000005,0.12168904883537615,0.0,-12.028238639947208,0.0
 0.5010224107546762,9.982449580725433,4.726901186872965,-171.39220046757757,-1.753578437641367,-3.5000000000000084,0.12078804476031287,0.0,-12.340547853369667,0.0
 0.5172977606609827,10.011141579747862,4.731141610408309,-171.59304720192665,-1.8105421623134392,-3.4999999999999862,0.11988363859615733,0.0,-12.63348356184048,0.0
 0.5330574049575766,10.039812991193338,4.735277235620527,-171.79214640908816,-1.865700917351518,-3.5,0.11897592247202653,0.0,-12.908468367950999,0.0
 0.5483457653811196,10.06846322548267,4.739309119914131,-171.98949572601327,-1.9192101788339184,-3.5,0.11806498363165395,0.0,-13.166731001880795,0.0
 0.5632011740735279,10.097091693036678,4.743238320693631,-172.18509289618925,-1.9712041092573476,-3.5000000000000036,0.11715090427904479,0.0,-13.409342114038346,0.0
 0.5776569815099648,10.125697804276175,4.747065895363538,-172.37893576363908,-2.0217994352848767,-3.4999999999999925,0.1162337616847179,0.0,-13.637241924461433,0.0
 0.591742417875954,10.154280969621974,4.750792901328365,-172.57102226697367,-2.071098462565839,-3.5,0.11531362811056522,0.0,-13.851261881720566,0.0
 0.6054832718208206,10.182840599494893,4.754420395992623,-172.76135043344252,-2.119191451372872,-3.49999999999998,0.11439057080322304,0.0,-14.052141848227999,0.0
 0.6189024318011448,10.211376104315747,4.757949436760823,-172.94991837297007,-2.1661585113040065,-3.5000000000000084,0.11346465194800462,0.0,-14.24054389808752,0.0
 0.632020322564547,10.23988689450535,4.7613810810374755,-173.13672427223662,-2.2120711289759143,-3.5000000000000084,0.11253592871559825,0.0,-14.417063503393965,0.0
 0.6448552605850502,10.268372380484518,4.764716386227094,-173.32176638874034,-2.256993412047675,-3.4999999999999782,0.11160445317709447,0.0,-14.582238696906998,0.0
 0.6574237461227308,10.296831972674065,4.767956409734187,-173.50504304490943,-2.300983111429557,-3.4999999999999822,0.11067027233233648,0.0,-14.736557631335637,0.0
 0.6697407051985459,10.325265081494807,4.771102208963268,-173.686552622173,-2.34409246819491,-3.4999999999999867,0.10973342809913197,0.0,-14.880464878806393,0.0
 0.6818196916012074,10.353671117367558,4.774154841318847,-173.86629355510934,-2.386368920604225,-3.4999999999999956,0.10879395728160104,0.0,-15.014366702337098,0.0
 0.6936730567127735,10.382049490713133,4.777115364205436,-174.0442643255511,-2.4278556984947057,-3.499999999999958,0.10785189151576488,0.0,-15.138635511130987,0.0
 0.7053120932076143,10.410399611952348,4.7799848350275465,-174.22046345674724,-2.4685923262266485,-3.4999999999999716,0.10690725737019272,0.0,-15.253613637830922,0.0
 0.7167471573773342,10.438720891506017,4.782764311189689,-174.39488950751596,-2.508615050820668,-3.5,0.1059600761942273,0.0,-15.359616565412775,0.0
 0.7279877738449576,10.467012739794956,4.785454850096376,-174.5675410664175,-2.54795720845735,-3.499999999999995,0.1050103641982951,0.0,-15.456935696471367,0.0
