# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 1.8376620320834571,2.201482239438627,4.989264939328992,0.011638932758104027,0.34043703281970633,0.5,-0.000026328819978450495,180.0,-0.0005139520357853579,-1.201611481541585e-12
 1.8613150263058,2.209674460474231,4.989266601739786,0.011626776253571034,0.35226352993087773,0.49999999999999767,-0.000023973983983282054,179.99999999999997,-0.0004737773670433025,0.0
 1.8850004342295887,2.2181582153401083,4.989268321648659,0.011615554643367556,0.3641062338927721,0.5,-0.00002079057114917871,179.99999999999997,-0.00043831744652887304,1.1988761154749842e-12
 1.908707395327186,2.226930572483571,4.9892700984748215,0.011605163468714296,0.3759597144415707,0.5,-0.00001877828903456869,180.0,-0.0004068551207655978,0.0
 1.9324263743039058,2.235988600351931,4.989271931637487,0.011595513280658287,0.3878192039299306,0.49999999999999767,-0.000016890103519014303,180.0,-0.0003788072119112741,0.0
 1.956148966664608,2.2453293673924994,4.989273820555865,0.011586526991586821,0.3996805001102816,0.5,-0.000016143912214628797,180.0,-0.00035369154100042767,0.0
 1.979867736636272,2.254949942052589,4.989275764649168,0.01157813786328491,0.41153988509611367,0.5,-0.000013387072284053464,180.0,-0.0003311105790055208,0.0
 2.003576081508614,2.264847392779511,4.989277763336606,0.011570287779486965,0.42339405753228465,0.5000000000000023,-0.000012839632391314149,180.0,-0.0003107300217903105,0.0
 2.027268117629234,2.2750187880205783,4.989279816037391,0.011562925952586948,0.43524007559259476,0.49999999999999767,-0.000011259145781402705,180.0,-0.0002922716559083158,0.0
 2.050938584218845,2.2854611962231015,4.989281922170735,0.011556007746120681,0.44707530888740005,0.5,-0.000010831414480253694,180.0,-0.00027549898689872897,0.0
 2.0745827619090367,2.2961716858343935,4.989284081155849,0.011549493799120979,0.45889739773249605,0.5000000000000023,-0.000010434328571405588,180.0,-0.0002602106077220031,0.0
 2.098196403490961,2.307147325301766,4.989286292411943,0.011543349279094417,0.47070421852345823,0.5000000000000047,-0.000009002330405282039,180.0,-0.00024623557548618857,0.0
 2.121775674830813,2.3183851830725306,4.989288555358231,0.011537543223646503,0.4824938541933842,0.4999999999999953,-0.000008694324340769244,180.0,-0.00023342656038395916,0.0
 2.145317104282142,2.3298823275939995,4.989290869413921,0.011532048028743158,0.4942645689190488,0.5000000000000047,-0.00000728038992159188,180.0,-0.00022032290171236735,0.0
 2.168959704702105,2.3416358273134845,4.989293233998227,0.011526839022414605,0.5,0.24258884298143207,-0.000007047322991927838,180.0,-0.00020592206485989974,0.0
 2.1929735519172824,2.353642750678298,4.989295648530359,0.011521894041410826,0.5,0.0,-0.0000068289066777061844,180.0,-0.00019175589269897875,0.0
 2.217488383327464,2.365900166135751,4.989298112429529,0.011517193178029402,0.5,0.0,-0.000005408389050280427,180.0,-0.00017891813714124833,1.1364159700323164e-12
 2.2424983358271597,2.378405142133156,4.989300625114947,0.011512718443918164,0.5,0.0,-0.000005251038738425189,180.00000000000003,-0.00016725458300298162,-2.229222700722571e-12
 2.267997546310878,2.3911547471178243,4.989303186005826,0.011508453584101805,0.5,0.0,-0.0000051029165306737015,179.99999999999997,-0.00015663281480142287,1.0938744992715692e-12
 2.29398015167313,2.404146049537069,4.989305794521377,0.011504383855488041,0.5,0.0,-0.000004963294178911917,180.0,-0.00014693776352232512,0.0
 2.320440288808421,2.4173761178382005,4.98930845008081,0.011500495862114888,0.5,0.0,-0.0000048315164591768096,180.0,-0.00013806977182246512,0.0
 2.3473720946112633,2.4308420204685324,4.989311152103339,0.011496777393832923,0.5,0.0,-0.000004706992407676284,180.0,-0.00012994174210896448,0.0
 2.3747697059761634,2.444540825875375,4.989313900008171,0.011493217300482543,0.5,0.0,-0.0000045891877751497735,180.0,-0.00012247638836238714,0.0
 2.402627259797631,2.458469602506041,4.989316693214522,0.01148980540790188,0.5,0.0,-0.0000031661544106430592,180.0,-0.00011560803792348923,0.0
 2.430938892970175,2.4726254188078425,4.9893195311416,0.011486532355540391,0.5,0.0,-0.000004371845098841255,180.0,-0.00010927663665711501,0.0
 2.459698742388305,2.487005343228091,4.989322413208618,0.011483389575925214,0.5,0.0,-0.0000030203837574549572,180.0,-0.0001034306193213306,0.0
 2.4889009449465282,2.5016064442140986,4.989325338834787,0.01148036917402907,0.5,0.0,-0.00000295296397873077,180.0,-0.00009802364345231765,9.589393776864158e-13
 2.5185396375393547,2.516425790213177,4.989328307439319,0.011477463881393956,0.5,0.0,-0.000002888866570040175,180.00000000000003,-0.00009301526819916446,-9.452062727814306e-13
 2.5486089570612918,2.531460449672638,4.989331318441423,0.011474666975574057,0.5,0.0,-0.000002827876147073124,180.0,-0.00008836842408275194,0.0
 2.579103040406851,2.546707491039794,4.989334371260313,0.011471972261484963,0.5,0.0,-0.0000027697953087158564,180.0,-0.0000840511368053915,0.0
 2.610016024470539,2.5621639827619567,4.989337465315198,0.011469373990032363,0.5,0.0,-0.0000027144428372560975,180.0,-0.00008003410922120166,0.0
 2.6413420461468653,2.577826993286438,4.989340600025292,0.011466866839792055,0.5,0.0,-0.0000037641445097283273,180.0,-0.00007629222003879768,0.0
 2.6730752423303383,2.5936935910605494,4.989343774809803,0.01146444584380629,0.5,0.0,-0.0000036928929992665705,180.0,-0.00007280075890683792,0.0
 2.7052097499154675,2.6097608445316034,4.989346989087945,0.011462106427266996,0.5,0.0,0,180.0,-0.0000695401180994607,0.0
 2.7377397057967614,2.6260258221469117,4.989350242278929,0.01145984429029324,0.5,0.0,0,180.0,-0.00006649093499072183,0.0
 2.7706592468687288,2.642485592353786,4.989353533801966,0.0114576554392279,0.5,0.0,-0.00000349764754773587,180.0,-0.00006363610856694906,0.0
 2.8039625100258783,2.6591372235995387,4.9893568630762655,0.011455536149157997,0.5,0.0,0,180.0,-0.00006096018030018315,0.0
 2.8376436321627185,2.675977784331481,4.989360229521042,0.011453482941879823,0.5,0.0,-0.000003381226460374566,180.0,-0.000058449764930049886,0.0
 2.8716967501737587,2.6930043429969253,4.989363632555504,0.011451492545136941,0.5,0.0,-0.0000033266972879496064,180.0,-0.000056091606393106154,0.0
